title,nid,img,location,lat,long,secret,attending,event_link,fb_link,fb_going,fb_interested,date_wday,date2_wday,date_conv,date2_conv,sold_out,timestamp
Baeside City Festival Amsterdam,88907,http://api.simfuny.com/sites/default/files/photo/events/17388966_414588562223876_7425447539720871917_o.jpg,Dok Amsterdam,52.3985596,4.8721299,0,562,http://simfuny.com/event/88907/baeside-city-festival-amsterdam,https://www.facebook.com/events/261651750962362,564,424,Sat,Sat,2017-07-01,2017-07-01,FALSE,2017-06-25T20:29:48Z
Het Superrelatie Weekend in AFAS Live,94359,http://api.simfuny.com/sites/default/files/photo/events/17761059_712765585515148_6287369012755620854_o.jpg,AFAS Live,52.31232,4.9442199,0,469,http://simfuny.com/event/94359/het-superrelatie-weekend-in-afas-live,https://www.facebook.com/events/394294734287567,554,148,Sat,Sun,2017-07-01,2017-07-02,FALSE,2017-06-25T20:29:48Z
Mario in Paradiso,108553,http://api.simfuny.com/sites/default/files/photo/events/18814009_1184527945008899_1140158745217468783_n.jpg,Paradiso Amsterdam,52.362230985869,4.8838215121197,0,408,http://simfuny.com/event/108553/mario-in-paradiso,https://www.facebook.com/events/1654320127942177,436,2500,Thu,Thu,2017-06-29,2017-06-29,FALSE,2017-06-25T20:29:48Z
Luminosity Beach Festival - Official After Party,88991,http://api.simfuny.com/sites/default/files/photo/events/17492302_1370933002952693_9003443193070988574_o.jpg,Panama Amsterdam,52.375,4.93043,0,407,http://simfuny.com/event/88991/luminosity-beach-festival-official-after-party,https://www.facebook.com/events/1772485559733925,417,388,Sun,Mon,2017-06-25,2017-06-26,FALSE,2017-06-25T20:29:48Z
Basspark: Tunnel Vision,97493,http://api.simfuny.com/sites/default/files/photo/events/17917466_776309599216919_1194732498113632818_o_0.jpg,Basspark,52.3731,4.89329,0,401,http://simfuny.com/event/97493/basspark-tunnel-vision,https://www.facebook.com/events/1914013792171554,404,1400,Sat,Sun,2017-07-01,2017-07-02,FALSE,2017-06-25T20:29:48Z
Sunset IBIZA WHITE Festival - The Box Amsterdam - Zat. 1 Juli,104093,http://api.simfuny.com/sites/default/files/photo/events/18623441_855243704633409_3790078492873148778_o.jpg,The BOX,52.3904799,4.82488,0,395,http://simfuny.com/event/104093/sunset-ibiza-white-festival-the-box-amsterdam-zat-1-juli,https://www.facebook.com/events/135801086946570,438,736,Sat,Sun,2017-07-01,2017-07-02,FALSE,2017-06-25T20:29:48Z
RfHRW // Haus am See 2017 // WesterUnie,101649,http://api.simfuny.com/sites/default/files/photo/events/18358571_731208743719002_1359517697020910899_o.jpg,WesterUnie,52.3870099,4.8699199,0,395,http://simfuny.com/event/101649/rfhrw-haus-am-see-2017-westerunie,https://www.facebook.com/events/1886037651667722,409,584,Fri,Sat,2017-06-30,2017-07-01,FALSE,2017-06-25T20:29:48Z
Einstürzende Neubauten in Paradiso,72371,http://api.simfuny.com/sites/default/files/photo/events/16143382_10155016748548338_6130505578115629836_o.jpg,Paradiso Amsterdam,52.362230985869,4.8838215121197,0,393,http://simfuny.com/event/72371/einstürzende-neubauten-in-paradiso,https://www.facebook.com/events/240457596395283,403,1200,Sat,Sat,2017-07-01,2017-07-01,FALSE,2017-06-25T20:29:48Z
LAPA at Claire: Elias Mazian / Faisal / Zuen,80069,http://api.simfuny.com/sites/default/files/photo/events/18953228_669505199902140_1112454381106775373_o.jpg,Claire,52.366420362058,4.8966032266617,0,377,http://simfuny.com/event/80069/lapa-at-claire-elias-mazian-faisal-zuen,https://www.facebook.com/events/1269621749780281,379,647,Thu,Fri,2017-06-29,2017-06-30,FALSE,2017-06-25T20:29:48Z
Toots and the Maytals in Paradiso,56825,http://api.simfuny.com/sites/default/files/photo/events/15259622_10154829674398338_476659004410338262_o.jpg,Paradiso Amsterdam,52.362230985869,4.8838215121197,0,363,http://simfuny.com/event/56825/toots-and-the-maytals-in-paradiso,https://www.facebook.com/events/233133837119269,401,872,Mon,Mon,2017-06-26,2017-06-26,FALSE,2017-06-25T20:29:48Z
Dolle Dinsdag / 1 Year Anniversary Pt. 2 / NOVA,58633,http://api.simfuny.com/sites/default/files/photo/events/19225531_568776876843947_6081192645525491539_n.jpg,Nova,52.364923403914,4.8822024464607,0,355,http://simfuny.com/event/58633/dolle-dinsdag-1-year-anniversary-pt-2-nova,https://www.facebook.com/events/1023087224504560,353,524,Tue,Wed,2017-06-27,2017-06-28,FALSE,2017-06-25T20:29:48Z
UH OH - Every Friday at Jimmy Woo,65789,http://api.simfuny.com/sites/default/files/photo/events/19264322_1826880864308010_7436818242301759645_o_0.jpg,Jimmy Woo,52.3648,4.88237,0,346,http://simfuny.com/event/65789/uh-oh-every-friday-at-jimmy-woo,https://www.facebook.com/events/387306781602073,346,473,Fri,Sat,2017-06-30,2017-07-01,FALSE,2017-06-25T20:29:48Z
"Festimi w/ Atlas Electronic: Tim Sweeney, Esa",110177,http://api.simfuny.com/sites/default/files/photo/events/19222643_621629118042980_3469095960085304748_o_0.jpg,Atelier Restaurant & Bar,52.34205,4.84378,0,337,http://simfuny.com/event/110177/festimi-w-atlas-electronic-tim-sweeney-esa,https://www.facebook.com/events/307728833006570,359,1000,Sun,Sun,2017-06-25,2017-06-25,FALSE,2017-06-25T20:29:48Z
Finale Kunstbende 2017,83897,http://api.simfuny.com/sites/default/files/photo/events/17240407_1488541801176947_7677996704869402992_o_0.jpg,Westergasfabriek Amsterdam,52.38644090121,4.8705979764075,0,317,http://simfuny.com/event/83897/finale-kunstbende-2017,https://www.facebook.com/events/943342629135894,322,321,Sat,Sat,2017-07-01,2017-07-01,FALSE,2017-06-25T20:29:48Z
Theatro - 1st of July - Jimmy Woo,58999,http://api.simfuny.com/sites/default/files/photo/events/18922784_1374199449300854_490768520329378007_o_0.jpg,Jimmy Woo,52.3648,4.88237,0,315,http://simfuny.com/event/58999/theatro-1st-of-july-jimmy-woo,https://www.facebook.com/events/606456072880904,318,309,Sat,Sun,2017-07-01,2017-07-02,FALSE,2017-06-25T20:29:48Z
Gedverdrerrie at Kattekwaad  AIR1,103255,http://api.simfuny.com/sites/default/files/photo/events/19366153_1517740041610249_4893996514093869171_n.jpg,AIR Amsterdam,52.366242406087,4.8990085489949,0,313,http://simfuny.com/event/103255/gedverdrerrie-at-kattekwaad-air1,https://www.facebook.com/events/293817171063919,313,235,Thu,Fri,2017-06-29,2017-06-30,FALSE,2017-06-25T20:29:48Z
Claire & PIV: Nick Beringer / Ed Herbst / Prunk / Chris Stussy,100245,http://api.simfuny.com/sites/default/files/photo/events/18208984_1718540398439435_8283258653523709304_o_0.jpg,Claire,52.366420362058,4.8966032266617,0,300,http://simfuny.com/event/100245/claire-piv-nick-beringer-ed-herbst-prunk-chris-stussy,https://www.facebook.com/events/274423289634112,302,762,Fri,Sat,2017-06-30,2017-07-01,FALSE,2017-06-25T20:29:48Z
